fold,model,channel_set,window_seconds,step_seconds,downsample,hidden_size,dropout,learning_rate,weight_decay,threshold,best_epoch,validation_accuracy,validation_precision,validation_sensitivity,validation_specificity,validation_f1,validation_auc,validation_tn,validation_fp,validation_fn,validation_tp,test_accuracy,test_precision,test_sensitivity,test_specificity,test_f1,test_auc,test_tn,test_fp,test_fn,test_tp
Fold_1,gru,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.2,1,0.7,0.6666666666666666,0.8,0.6,0.7272727272727273,0.75,6,4,2,8,0.8,0.8,0.8,0.8,0.8,0.88,8,2,2,8
Fold_1,lstm,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.2,1,0.7,0.7,0.7,0.7,0.7,0.75,7,3,3,7,0.75,0.7777777777777778,0.7,0.8,0.7368421052631579,0.8400000000000001,8,2,3,7
Fold_2,gru,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.2,5,0.85,1.0,0.7,1.0,0.8235294117647058,0.9299999999999999,10,0,3,7,0.6,0.6,0.6,0.6,0.6,0.7,6,4,4,6
Fold_2,lstm,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.2,7,0.9,0.9,0.9,0.9,0.9,0.9600000000000001,9,1,1,9,0.65,0.6153846153846154,0.8,0.5,0.6956521739130435,0.65,5,5,2,8
Fold_3,gru,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.2,2,0.9,0.9,0.9,0.9,0.9,0.9,9,1,1,9,0.7,0.8333333333333334,0.5,0.9,0.625,0.81,9,1,5,5
Fold_3,lstm,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.2,1,0.85,0.8181818181818182,0.9,0.8,0.8571428571428571,0.8999999999999999,8,2,1,9,0.7,0.8333333333333334,0.5,0.9,0.625,0.7,9,1,5,5
Fold_4,gru,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.44000000000000006,2,0.7,0.8333333333333334,0.5,0.9,0.625,0.72,9,1,5,5,0.8,0.875,0.7,0.9,0.7777777777777778,0.9099999999999999,9,1,3,7
Fold_4,lstm,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.7400000000000002,3,0.7,0.8333333333333334,0.5,0.9,0.625,0.76,9,1,5,5,0.75,1.0,0.5,1.0,0.6666666666666666,0.94,10,0,5,5
Fold_5,gru,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.5800000000000001,5,0.8,0.875,0.7,0.9,0.7777777777777778,0.88,9,1,3,7,0.65,0.7142857142857143,0.5,0.8,0.5882352941176471,0.78,8,2,5,5
Fold_5,lstm,all,10.0,5.0,2,64,0.2,0.001,0.0001,0.4,1,0.85,1.0,0.7,1.0,0.8235294117647058,0.89,10,0,3,7,0.6,0.6666666666666666,0.4,0.8,0.5,0.71,8,2,6,4
